DATE,RU2000PR
2002-10-24,909.78
2002-10-25,926.24
2002-10-28,917.22
2002-10-29,916.27
2002-10-30,930.06
2002-10-31,928.39
2002-11-01,953.11
2002-11-04,961.87
2002-11-05,959.63
2002-11-06,976.18
2002-11-07,952.39
2002-11-08,942.06
2002-11-11,917.56
2002-11-12,931.35
2002-11-13,934.89
2002-11-14,960.06
2002-11-15,959.28
2002-11-18,950.97
2002-11-19,943.47
2002-11-20,965.90
2002-11-21,988.54
2002-11-22,994.27
2002-11-25,1006.33
2002-11-26,990.08
2002-11-27,1019.71
2002-11-28,.
2002-11-29,1010.06
2002-12-02,1015.49
2002-12-03,996.34
2002-12-04,988.13
2002-12-05,980.47
2002-12-06,986.12
2002-12-09,960.19
2002-12-10,978.04
2002-12-11,979.05
2002-12-12,982.75
2002-12-13,964.40
2002-12-16,981.60
2002-12-17,972.52
2002-12-18,954.33
2002-12-19,953.00
2002-12-20,961.68
2002-12-23,968.59
2002-12-24,964.58
2002-12-25,.
2002-12-26,967.77
2002-12-27,954.76
2002-12-30,949.96
2002-12-31,952.09
2003-01-01,.
2003-01-02,975.65
2003-01-03,970.02
2003-01-06,986.62
2003-01-07,979.06
2003-01-08,966.94
2003-01-09,984.00
2003-01-10,985.25
2003-01-13,984.62
2003-01-14,990.25
2003-01-15,982.98
2003-01-16,981.38
2003-01-17,964.52
2003-01-20,.
2003-01-21,952.29
2003-01-22,945.72
2003-01-23,953.55
2003-01-24,932.15
2003-01-27,916.03
2003-01-28,927.45
2003-01-29,931.58
2003-01-30,913.64
2003-01-31,924.95
2003-02-03,920.18
2003-02-04,916.38
2003-02-05,912.08
2003-02-06,906.48
2003-02-07,891.69
2003-02-10,899.92
2003-02-11,894.61
2003-02-12,883.24
2003-02-13,881.71
2003-02-14,890.98
2003-02-17,.
2003-02-18,905.96
2003-02-19,895.40
2003-02-20,894.05
2003-02-21,905.52
2003-02-24,890.28
2003-02-25,897.67
2003-02-26,889.65
2003-02-27,898.24
2003-02-28,895.99
2003-03-03,892.98
2003-03-04,886.02
2003-03-05,886.09
2003-03-06,879.38
2003-03-07,880.24
2003-03-10,864.89
2003-03-11,862.46
2003-03-12,859.76
2003-03-13,883.37
2003-03-14,880.75
2003-03-17,908.13
2003-03-18,914.59
2003-03-19,915.85
2003-03-20,920.77
2003-03-21,935.05
2003-03-24,912.71
2003-03-25,924.00
2003-03-26,915.02
2003-03-27,918.31
2003-03-28,916.25
2003-03-31,906.00
2003-04-01,916.31
2003-04-02,935.20
2003-04-03,932.53
2003-04-04,927.72
2003-04-07,935.88
2003-04-08,931.15
2003-04-09,925.24
2003-04-10,926.25
2003-04-11,922.79
2003-04-14,938.49
2003-04-15,943.43
2003-04-16,938.78
2003-04-17,953.62
2003-04-18,.
2003-04-21,957.58
2003-04-22,972.15
2003-04-23,981.61
2003-04-24,974.90
2003-04-25,965.55
2003-04-28,982.19
2003-04-29,983.63
2003-04-30,990.84
2003-05-01,991.22
2003-05-02,1013.17
2003-05-05,1018.51
2003-05-06,1025.80
2003-05-07,1019.54
2003-05-08,1013.20
2003-05-09,1027.74
2003-05-12,1039.34
2003-05-13,1041.91
2003-05-14,1042.43
2003-05-15,1048.93
2003-05-16,1030.62
2003-05-19,1014.81
2003-05-20,1016.58
2003-05-21,1020.78
2003-05-22,1031.63
2003-05-23,1039.86
2003-05-26,.
2003-05-27,1062.98
2003-05-28,1069.87
2003-05-29,1075.24
2003-05-30,1096.03
2003-06-02,1100.08
2003-06-03,1103.16
2003-06-04,1121.45
2003-06-05,1135.00
2003-06-06,1128.19
2003-06-09,1105.43
2003-06-10,1120.77
2003-06-11,1132.06
2003-06-12,1135.15
2003-06-13,1117.68
2003-06-16,1136.95
2003-06-17,1138.29
2003-06-18,1137.05
2003-06-19,1119.20
2003-06-20,1117.30
2003-06-23,1092.06
2003-06-24,1095.76
2003-06-25,1101.52
2003-06-26,1118.14
2003-06-27,1115.28
2003-06-30,1114.30
2003-07-01,1116.31
2003-07-02,1140.49
2003-07-03,1134.17
2003-07-04,.
2003-07-07,1157.43
2003-07-08,1177.96
2003-07-09,1185.45
2003-07-10,1165.69
2003-07-11,1177.47
2003-07-14,1190.53
2003-07-15,1185.32
2003-07-16,1177.23
2003-07-17,1143.08
2003-07-18,1155.07
2003-07-21,1136.21
2003-07-22,1153.19
2003-07-23,1158.50
2003-07-24,1156.30
2003-07-25,1165.32
2003-07-28,1177.61
2003-07-29,1177.05
2003-07-30,1175.06
2003-07-31,1183.05
2003-08-01,1163.33
2003-08-04,1155.09
2003-08-05,1136.91
2003-08-06,1128.10
2003-08-07,1127.75
2003-08-08,1128.19
2003-08-11,1141.41
2003-08-12,1160.51
2003-08-13,1161.80
2003-08-14,1171.12
2003-08-15,1172.86
2003-08-18,1195.24
2003-08-19,1214.56
2003-08-20,1216.45
2003-08-21,1229.78
2003-08-22,1206.65
2003-08-25,1202.56
2003-08-26,1209.12
2003-08-27,1220.10
2003-08-28,1232.23
2003-08-29,1236.25
2003-09-01,.
2003-09-02,1261.28
2003-09-03,1269.28
2003-09-04,1273.86
2003-09-05,1264.71
2003-09-08,1285.23
2003-09-09,1276.39
2003-09-10,1247.03
2003-09-11,1261.13
2003-09-12,1265.17
2003-09-15,1261.65
2003-09-16,1281.57
2003-09-17,1280.17
2003-09-18,1291.01
2003-09-19,1292.86
2003-09-22,1276.59
2003-09-23,1290.77
2003-09-24,1262.18
2003-09-25,1230.37
2003-09-26,1206.09
2003-09-29,1224.53
2003-09-30,1212.03
2003-10-01,1243.46
2003-10-02,1250.61
2003-10-03,1273.17
2003-10-06,1284.22
2003-10-07,1294.28
2003-10-08,1281.61
2003-10-09,1295.69
2003-10-10,1290.02
2003-10-13,1311.18
2003-10-14,1321.78
2003-10-15,1310.63
2003-10-16,1316.33
2003-10-17,1293.25
2003-10-20,1295.93
2003-10-21,1306.11
2003-10-22,1275.34
2003-10-23,1268.71
2003-10-24,1258.63
2003-10-27,1280.81
2003-10-28,1306.90
2003-10-29,1321.71
2003-10-30,1318.12
2003-10-31,1312.79
2003-11-03,1336.70
2003-11-04,1339.26
2003-11-05,1339.37
2003-11-06,1349.38
2003-11-07,1349.42
2003-11-10,1325.20
2003-11-11,1313.65
2003-11-12,1343.69
2003-11-13,1345.05
2003-11-14,1324.57
2003-11-17,1307.80
2003-11-18,1296.52
2003-11-19,1306.32
2003-11-20,1300.00
2003-11-21,1307.08
2003-11-24,1340.84
2003-11-25,1349.97
2003-11-26,1355.27
2003-11-27,.
2003-11-28,1358.25
2003-12-01,1378.33
2003-12-02,1375.87
2003-12-03,1354.95
2003-12-04,1352.39
2003-12-05,1339.61
2003-12-08,1349.62
2003-12-09,1328.49
2003-12-10,1313.46
2003-12-11,1349.32
2003-12-12,1360.93
2003-12-15,1330.26
2003-12-16,1336.46
2003-12-17,1338.54
2003-12-18,1359.20
2003-12-19,1359.15
2003-12-22,1365.35
2003-12-23,1379.43
2003-12-24,1372.76
2003-12-25,.
2003-12-26,1379.10
2003-12-29,1401.41
2003-12-30,1405.36
2003-12-31,1384.09
2004-01-01,.
2004-01-02,1393.88
2004-01-05,1413.96
2004-01-06,1416.34
2004-01-07,1428.10
2004-01-08,1440.53
2004-01-09,1429.55
2004-01-12,1448.95
2004-01-13,1444.35
2004-01-14,1456.68
2004-01-15,1457.27
2004-01-16,1467.36
2004-01-19,.
2004-01-20,1486.17
2004-01-21,1484.92
2004-01-22,1470.64
2004-01-23,1481.60
2004-01-26,1494.91
2004-01-27,1479.18
2004-01-28,1451.19
2004-01-29,1441.13
2004-01-30,1443.37
2004-02-02,1442.82
2004-02-03,1439.37
2004-02-04,1401.80
2004-02-05,1415.48
2004-02-06,1451.60
2004-02-09,1455.12
2004-02-10,1473.37
2004-02-11,1483.91
2004-02-12,1473.17
2004-02-13,1454.24
2004-02-16,.
2004-02-17,1477.46
2004-02-18,1470.01
2004-02-19,1447.91
2004-02-20,1441.21
2004-02-23,1417.12
2004-02-24,1421.26
2004-02-25,1439.10
2004-02-26,1451.07
2004-02-27,1455.29
2004-03-01,1478.18
2004-03-02,1468.97
2004-03-03,1469.62
2004-03-04,1487.17
2004-03-05,1490.04
2004-03-08,1472.57
2004-03-09,1456.26
2004-03-10,1429.07
2004-03-11,1413.48
2004-03-12,1448.53
2004-03-15,1409.03
2004-03-16,1408.26
2004-03-17,1437.93
2004-03-18,1427.94
2004-03-19,1418.47
2004-03-22,1389.25
2004-03-23,1394.05
2004-03-24,1385.87
2004-03-25,1420.42
2004-03-26,1423.88
2004-03-29,1449.89
2004-03-30,1464.83
2004-03-31,1467.10
2004-04-01,1479.54
2004-04-02,1499.77
2004-04-05,1507.08
2004-04-06,1489.53
2004-04-07,1495.26
2004-04-08,1485.92
2004-04-09,.
2004-04-12,1490.32
2004-04-13,1455.97
2004-04-14,1446.49
2004-04-15,1442.22
2004-04-16,1449.85
2004-04-19,1458.74
2004-04-20,1431.06
2004-04-21,1449.49
2004-04-22,1474.39
2004-04-23,1468.10
2004-04-26,1464.97
2004-04-27,1468.22
2004-04-28,1434.16
2004-04-29,1409.79
2004-04-30,1391.28
2004-05-03,1405.39
2004-05-04,1415.72
2004-05-05,1416.77
2004-05-06,1399.45
2004-05-07,1363.34
2004-05-10,1336.76
2004-05-11,1363.52
2004-05-12,1364.42
2004-05-13,1359.89
2004-05-14,1351.42
2004-05-17,1330.48
2004-05-18,1348.43
2004-05-19,1344.20
2004-05-20,1343.92
2004-05-21,1356.49
2004-05-24,1371.19
2004-05-25,1405.16
2004-05-26,1411.08
2004-05-27,1413.04
2004-05-28,1412.36
2004-05-31,.
2004-06-01,1422.82
2004-06-02,1425.46
2004-06-03,1397.84
2004-06-04,1411.05
2004-06-07,1438.75
2004-06-08,1436.28
2004-06-09,1413.10
2004-06-10,1414.45
2004-06-11,.
2004-06-14,1385.97
2004-06-15,1411.47
2004-06-16,1416.80
2004-06-17,1415.55
2004-06-18,1417.97
2004-06-21,1413.50
2004-06-22,1421.33
2004-06-23,1441.84
2004-06-24,1439.12
2004-06-25,1460.61
2004-06-28,1451.67
2004-06-29,1460.95
2004-06-30,1470.12
2004-07-01,1447.51
2004-07-02,1448.24
2004-07-05,.
2004-07-06,1422.61
2004-07-07,1421.66
2004-07-08,1393.55
2004-07-09,1401.04
2004-07-12,1397.34
2004-07-13,1398.46
2004-07-14,1391.12
2004-07-15,1397.13
2004-07-16,1380.54
2004-07-19,1378.68
2004-07-20,1402.18
2004-07-21,1363.37
2004-07-22,1358.27
2004-07-23,1340.14
2004-07-26,1325.88
2004-07-27,1353.52
2004-07-28,1345.05
2004-07-29,1366.51
2004-07-30,1370.12
2004-08-02,1371.71
2004-08-03,1351.08
2004-08-04,1348.70
2004-08-05,1323.08
2004-08-06,1291.48
2004-08-09,1288.34
2004-08-10,1316.80
2004-08-11,1308.84
2004-08-12,1285.15
2004-08-13,1285.87
2004-08-16,1312.38
2004-08-17,1317.22
2004-08-18,1346.07
2004-08-19,1335.69
2004-08-20,1361.76
2004-08-23,1350.69
2004-08-24,1354.53
2004-08-25,1367.28
2004-08-26,1360.08
2004-08-27,1371.08
2004-08-30,1353.39
2004-08-31,1361.77
2004-09-01,1373.02
2004-09-02,1391.22
2004-09-03,1382.42
2004-09-06,.
2004-09-07,1399.06
2004-09-08,1386.28
2004-09-09,1407.12
2004-09-10,1416.41
2004-09-13,1424.34
2004-09-14,1419.01
2004-09-15,1412.95
2004-09-16,1427.91
2004-09-17,1424.51
2004-09-20,1418.47
2004-09-21,1433.82
2004-09-22,1406.42
2004-09-23,1406.20
2004-09-24,1406.61
2004-09-27,1387.69
2004-09-28,1405.83
